vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_09,-0.15895976323847352,0.3869417739180185,0.545901537156492,3,smooth20_top50,0.375,8,-0.010;-0.501;-1.685;0.711;1.296;0.650;0.135;-1.754,5,0.0,fake,10
vendor_06,-0.4109247884901521,-0.02770687351315569,0.3832179149769964,6,smooth5_top25,0.375,8,-1.536;1.511;0.411;-1.464;-1.724;0.766;0.213;-2.729,5,0.0,fake,11
vendor_10,-0.6244643538581636,0.14027634706064213,0.7647407009188056,7,smooth20_top50,0.25,8,0.329;-0.917;-0.622;2.164;-1.563;-0.444;-3.645;-0.573,5,0.0,fake,12
vendor_03,1.637258500493191,1.937640108773413,0.300381608280222,2,smooth5_top25,0.375,8,2.099;4.691;3.208;2.830;0.613;-0.977;-0.486;2.725,6,0.025,REAL,1
vendor_00,1.1170485146149876,1.8843977025195358,0.7673491879045482,5,smooth20_top50,0.25,8,1.721;4.435;2.542;1.951;1.656;0.800;-2.780;0.729,6,0.05,REAL,2
vendor_01,1.1170485146149876,1.8843977025195358,0.7673491879045482,5,smooth20_top50,0.25,8,1.721;4.435;2.542;1.951;1.656;0.800;-2.780;0.729,6,0.04,REAL,3
vendor_02,1.023475707232517,1.6961779702086337,0.6727022629761168,4,smooth5_all,0.5,8,2.382;4.236;2.998;1.129;1.760;0.356;-2.935;1.205,6,0.03,REAL,4
vendor_04,0.781824839974914,0.8990675144028392,0.11724267442792513,4,smooth1_top25,0.625,8,0.117;0.454;-0.372;0.119;1.882;2.256;1.056;0.710,6,0.01,REAL,5
vendor_10,0.3722108916679083,0.4489104552988683,0.07669956363096003,5,smooth5_top25,0.25,8,-1.028;2.616;-0.774;1.851;-0.357;1.502;-0.055;0.246,6,0.0,fake,6
vendor_08,0.11255782726551554,0.17278089505987604,0.0602230677943605,3,smooth20_top25,0.625,8,-0.432;2.620;0.917;-0.734;-1.924;-0.641;3.363;-1.786,6,0.0,fake,7
vendor_05,0.08670172791919771,0.23961365459646927,0.15291192667727155,2,smooth5_top25,0.875,8,-3.368;-2.029;1.818;-0.397;2.273;-0.923;0.698;2.494,6,0.0,fake,8
vendor_11,0.036981393366215885,0.49982810386824406,0.4628467105020282,7,smooth5_top25,0.25,8,-0.319;0.497;0.042;-1.820;-0.386;1.798;-1.784;1.146,6,0.0,fake,9
vendor_06,-0.2549342029404379,0.5486935774910349,0.8036277804314728,3,smooth1_top25,0.75,8,-1.327;-1.767;-2.014;0.034;1.444;-0.616;2.586;-1.139,6,0.0,fake,10
vendor_09,-0.3689805110968715,0.4054513502569202,0.7744318613537917,5,smooth20_top25,0.375,8,-1.361;0.536;1.528;-1.040;3.236;-0.715;-1.734;-2.701,6,0.0,fake,11
vendor_07,-0.5527696316457519,0.019012676736205693,0.5717823083819575,4,smooth5_top25,0.25,8,-1.175;-0.026;1.821;-4.009;-2.086;2.092;-0.120;0.355,6,0.0,fake,12
vendor_00,1.2743023073844526,1.3681803695426253,0.09387806215817274,3,smooth1_top50,0.5,8,-0.500;1.083;2.164;-0.720;2.867;1.225;1.899;2.739,7,0.05,REAL,1
vendor_01,1.2743023073844526,1.3681803695426253,0.09387806215817274,3,smooth1_top50,0.5,8,-0.500;1.083;2.164;-0.720;2.867;1.225;1.899;2.739,7,0.04,REAL,2
