vendor,rate,turnover,gross_sharpe,net_sharpe,true_ic,kind
vendor_06,0.2,37.20085250421914,1.8590024988404226,1.5536565257444515,0.0,fake
vendor_06,0.1,25.313293786150542,1.6238307969741705,1.4131166475002443,0.0,fake
vendor_06,0.05,17.878743490415495,1.2481223011607612,1.0965699962094966,0.0,fake
vendor_06,0.02,11.479422430905155,0.7130499753620106,0.6156039148079276,0.0,fake
vendor_07,1.0,142.03447243325402,-0.20451167160868614,-1.5287662856497437,0.0,fake
vendor_07,0.5,88.86018663640479,-0.09832161997542815,-0.8560416364069765,0.0,fake
vendor_07,0.3,63.040534684488364,0.14015383449479507,-0.40002235501478406,0.0,fake
vendor_07,0.2,48.82223177692397,0.3672272489736066,-0.05245030625131698,0.0,fake
vendor_07,0.1,32.140241932062,0.6037217810578607,0.326872123409117,0.0,fake
vendor_07,0.05,21.531255320140847,0.6834418311380441,0.49613947182682727,0.0,fake
vendor_07,0.02,12.642254214440207,0.9000366720443054,0.7890330832132748,0.0,fake
vendor_08,1.0,131.11695243147315,1.8260405214667506,0.6392494177274713,0.0,fake
vendor_08,0.5,82.28629645958873,1.8790484784362804,1.1915070816881053,0.0,fake
vendor_08,0.3,58.158030782321546,1.9025856707144393,1.4131608193973808,0.0,fake
vendor_08,0.2,45.162497629295416,1.8911545081271905,1.5108105688806932,0.0,fake
vendor_08,0.1,30.49079968955689,1.9229840660455955,1.666800120886286,0.0,fake
vendor_08,0.05,21.267729906298793,1.946061503727195,1.7656182585317566,0.0,fake
vendor_08,0.02,13.461565176878889,1.5643633858937829,1.4471116055100723,0.0,fake
vendor_09,1.0,142.51522652639935,-1.2288550832116318,-2.5425133630229437,0.0,fake
vendor_09,0.5,87.97252829468442,-1.2127239221777162,-1.9596598127195906,0.0,fake
vendor_09,0.3,61.82003813526433,-1.1134933313512605,-1.6429038146654253,0.0,fake
vendor_09,0.2,47.674377493793216,-1.0187485669982759,-1.429239536577398,0.0,fake
vendor_09,0.1,31.644673489159903,-0.8448108488160868,-1.119837068403694,0.0,fake
vendor_09,0.05,21.642147177935687,-0.7575103817518417,-0.9490192651578407,0.0,fake
vendor_09,0.02,13.32636928766458,-0.7571282585407223,-0.8783274573492507,0.0,fake
vendor_10,1.0,142.7826474184065,1.9526464508256314,0.6463617534952393,0.0,fake
vendor_10,0.5,88.31367546430714,1.7895312930761038,1.0523641024737656,0.0,fake
vendor_10,0.3,62.04401488531145,1.6703262013465827,1.1504168413396285,0.0,fake
vendor_10,0.2,47.693080251276044,1.5742610090610973,1.1732684020528554,0.0,fake
vendor_10,0.1,31.054190377660355,1.3758660079918752,1.1127857830547392,0.0,fake
vendor_10,0.05,20.9837616591954,1.1376728570427914,0.9563942779943352,0.0,fake
vendor_10,0.02,12.972025958383204,0.8256895273682574,0.7108039848778006,0.0,fake
vendor_11,1.0,143.147797925175,-0.029688816053356732,-1.3160466634995909,0.0,fake
vendor_11,0.5,88.37714694845435,0.03116969784142529,-0.6971149299077424,0.0,fake
vendor_11,0.3,62.05063412176702,-0.0038535191360206623,-0.5165081324225808,0.0,fake
