seed,inversions,any_inversion,max_fake,min_real,top_is_fake,best_fake_rank,weakest_real_rank,mean_search_gap,max_sharpe
21,0,False,0.5828031319642427,0.9724276398849218,False,6,5,0.25904346472437734,1.685534638631846
22,1,True,0.7555065861920699,0.420929955370466,False,5,6,0.23446125417958708,2.225349969827448
23,1,True,1.1034100457259943,0.692387661143611,False,5,6,0.2676531389625059,1.819304488639158
24,1,True,0.7653819327049668,0.7506335738925239,False,5,6,0.24878012561181492,1.5736121988956104
25,0,False,0.6839669152396024,1.1897149952915318,False,6,5,0.30755605482384446,1.9562456731425926
26,0,False,0.7559513676470354,0.7920976483611298,False,6,5,0.22497842333258564,2.3353839755116304
27,1,True,0.945115418972727,0.899205433635364,False,5,6,0.2819174946708834,2.176824933256457
28,1,True,1.1621745906593577,0.713391215652982,False,5,6,0.232797534403932,1.5173556300384745
29,0,False,0.5096164031509555,0.9056679662861575,False,6,5,0.2287078012728377,1.9331985343536102
30,0,False,0.903179229842823,1.1690136181615332,False,6,5,0.2796866986207355,2.2843310749800443
31,4,True,0.7270528462428055,0.4306847413954364,False,5,9,0.297416890419149,1.4994014768132609
32,0,False,0.760471161728735,1.0578824293107494,False,6,5,0.29093618348763933,1.6871887931073304
33,0,False,0.29865481586014075,1.1430516342740957,False,6,5,0.12380204487588531,1.4482456387423972
34,0,False,0.8723503995823944,1.3633596141561823,False,6,5,0.5227918052369939,2.249756628231804
35,0,False,0.6324840266968582,1.043996287718744,False,6,5,0.2486481744840798,1.2687198717646537
36,1,True,0.8672365553285918,0.7250495000534992,False,5,6,0.29315980540859954,1.3697919298828223
37,0,False,0.4967860233129527,1.006445513098501,False,6,5,0.15891372053846106,1.457056676619161
38,0,False,0.7376240276945404,1.3387904707257288,False,6,5,0.3042092557064057,2.079701873318019
39,0,False,0.45683275301770576,0.8470160444498107,False,6,5,0.2968643801217464,2.1187839842660403
40,0,False,0.4931450114482729,0.5701671891443812,False,6,5,0.26852598123389104,2.3649369377929057
41,1,True,0.9768079542366419,0.9556500139181767,False,5,6,0.29200387967221375,1.7429756043298312
