vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_09,0.12540011434367593,0.22968896922775817,0.10428885488408224,2,smooth20_top50,0.6,5,-3.015;1.738;-0.080;2.003;0.127,7,0.0,fake,9
vendor_10,-0.11878469462457503,0.8235158212621362,0.9423005158867113,2,smooth20_all,0.6,5,2.048;-2.983;1.190;1.325;-2.423,7,0.0,fake,10
vendor_07,-0.37135718192078687,0.09457015889434779,0.46592734081513465,4,smooth20_top50,0.4,5,1.882;-0.297;-0.336;-2.372;-1.082,7,0.0,fake,11
vendor_11,-1.1794021406795807,-0.3623591123068419,0.8170430283727388,4,smooth5_top50,0.2,5,-1.731;-2.193;0.088;-0.477;-1.441,7,0.0,fake,12
vendor_00,1.5981957652424652,1.83981829889598,0.24162253365351472,1,smooth1_top50,0.8,5,-0.755;4.083;1.316;0.350;3.656,8,0.05,REAL,1
vendor_04,1.5499201548471007,1.5774489364340532,0.02752878158695249,3,smooth1_top25,0.4,5,0.885;0.253;1.728;1.886;2.603,8,0.01,REAL,2
vendor_02,1.3141553218493371,1.581787526484472,0.26763220463513493,1,smooth5_top25,0.6,5,0.965;1.051;1.632;0.592;2.320,8,0.03,REAL,3
vendor_09,1.3129564673383793,1.3291524277874516,0.016195960449072233,2,smooth5_top50,0.6,5,-1.700;3.157;1.749;0.543;2.680,8,0.0,fake,4
vendor_03,1.1246938001982953,1.3942852996857038,0.26959149948740846,2,smooth5_all,0.6,5,0.398;0.335;0.244;1.164;3.001,8,0.025,REAL,5
vendor_01,0.8592356864360885,1.254290891149068,0.3950552047129795,2,smooth1_top50,0.6,5,-0.658;2.743;-1.074;0.657;2.902,8,0.04,REAL,6
vendor_05,0.5614122564559327,0.6528253884300044,0.09141313197407164,0,smooth1_all,1.0,5,1.813;-0.657;1.154;1.446;-0.809,8,0.0,fake,7
vendor_10,0.24093605635551896,0.3940877268223147,0.15315167046679573,3,smooth5_top25,0.4,5,-1.814;0.379;2.113;1.069;-1.988,8,0.0,fake,8
vendor_11,-0.11467165675896397,0.6001362037892608,0.7148078605482248,2,smooth1_top50,0.6,5,-2.230;1.918;-2.251;-0.332;3.125,8,0.0,fake,9
vendor_06,-0.34331497747614426,-0.20486822093396556,0.1384467565421787,0,smooth1_top50,1.0,5,1.924;-2.350;2.431;-3.284;-0.148,8,0.0,fake,10
vendor_08,-0.44417038773745887,-0.21447963998327332,0.22969074775418555,1,smooth20_top50,0.6,5,-0.379;2.802;-1.867;-0.541;-2.056,8,0.0,fake,11
vendor_07,-1.493134050617661,-0.8802146249047679,0.612919425712893,3,smooth5_top50,0.4,5,-0.770;-1.774;-2.462;-2.036;-0.415,8,0.0,fake,12
vendor_00,2.565045681374311,2.5673059299051535,0.0022602485308422793,1,smooth1_top25,0.8,5,-0.504;3.873;5.586;2.286;1.064,9,0.05,REAL,1
vendor_01,2.565045681374311,2.5673059299051544,0.0022602485308431675,1,smooth1_top25,0.8,5,-0.504;3.873;5.586;2.286;1.064,9,0.04,REAL,2
vendor_02,1.9148239174716988,2.5306809624637285,0.6158570449920298,3,smooth1_all,0.6,5,-0.274;4.427;4.194;1.257;1.113,9,0.03,REAL,3
vendor_03,1.835787914131198,1.6786712371565862,-0.15711667697461174,2,smooth1_all,0.6,5,-1.233;2.367;5.037;1.435;0.939,9,0.025,REAL,4
vendor_10,0.580074959340904,0.3199192533523301,-0.2601557059885739,1,smooth1_top25,0.8,5,1.549;-1.662;3.716;0.864;-2.496,9,0.0,fake,5
vendor_11,0.5471018697205576,0.6468571504878049,0.09975528076724727,2,smooth5_top50,0.4,5,1.442;-0.539;-1.422;2.995;0.632,9,0.0,fake,6
vendor_04,0.3650622818436813,0.9241308898811839,0.5590686080375026,0,smooth5_all,1.0,5,0.592;2.858;0.756;0.442;-2.683,9,0.01,REAL,7
vendor_09,0.256370396255208,0.33777386418154054,0.08140346792633252,1,smooth1_top25,0.8,5,0.768;-1.663;-1.351;2.755;1.624,9,0.0,fake,8
vendor_06,0.009233960787951476,0.5374313639666378,0.5281974031786864,2,smooth1_top50,0.6,5,0.685;-0.771;1.143;0.021;-0.710,9,0.0,fake,9
vendor_08,-0.16848405484952178,0.5790990778783229,0.7475831327278447,2,smooth1_all,0.8,5,1.298;1.247;1.503;-1.745;-2.565,9,0.0,fake,10
